"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-09-14","CHI","4","2.6197","2.6229","FCD","0","1.1465","1.1889","4","1.4732","1.434","4","2.434","0.397"
"2019-09-14","NYC","2","1.541","1.6025","SJE","1","1.5736","1.5736","1","-0.0326","0.0289","1","1.397","1.331"
"2019-09-14","VAN","2","1.2162","1.2597","HOU","1","1.4878","1.4968","1","-0.2717","-0.237","1","1.1","1.595"
"2019-09-11","RSL","1","1.0361","1.0361","SJE","0","0.8604","0.8645","1","0.1757","0.1716","1","1.507","1.165"
"2019-09-11","HOU","2","0.9574","0.9574","MIN","0","0.8652","0.866","2","0.0922","0.0913","2","1.448","1.214"
"2019-09-11","NYC","1","0.6583","0.6583","TOR","1","3.0035","3.0035","0","-2.3452","-2.3452","0","0.124","2.806"
"2019-09-11","COL","2","1.6963","1.6999","LAG","1","1.7578","1.7696","1","-0.0614","-0.0697","1","1.379","1.352"
"2019-09-07","NYC","2","3.8111","3.8374","NER","1","0.5944","0.5944","1","3.2167","3.243","1","2.909","0.056"
"2019-09-07","POR","2","2.3852","2.392","SKC","1","0.6448","0.6448","1","1.7404","1.7472","1","2.714","0.185"
"2019-09-07","COL","2","2.228","2.2434","SEA","0","0.4259","0.4259","2","1.8021","1.8175","2","2.566","0.271"
"2019-09-07","ORL","2","1.092","1.0942","LAFC","2","1.3476","1.3476","0","-0.2556","-0.2533","0","1.136","1.571"
"2019-09-07","CIN","1","1.2536","1.2877","TOR","5","1.3016","1.3084","-4","-0.048","-0.0208","-4","1.27","1.423"
"2019-09-01","LAFC","0","1.7358","1.7392","MIN","2","0.4705","0.4705","-2","1.2653","1.2687","-2","2.301","0.486"
"2019-09-01","SEA","4","2.0622","2.0622","LAG","3","1.9212","1.9377","1","0.141","0.1245","1","1.508","1.247"
"2019-08-31","SJE","3","2.1576","2.2765","ORL","0","0.6184","0.6184","3","1.5392","1.6581","3","2.437","0.391"
"2019-08-31","POR","1","0.9987","0.9987","RSL","0","1.1161","1.1552","1","-0.1174","-0.1565","1","1.213","1.477"
"2019-08-31","VAN","1","1.0918","1.0926","NYC","3","1.4775","1.6297","-2","-0.3857","-0.5372","-2","1.133","1.589"
"2019-08-31","SKC","1","1.3981","1.3981","HOU","0","1.2507","1.2507","1","0.1474","0.1474","1","1.519","1.165"
"2019-08-31","FCD","3","2.294","2.6321","CIN","1","0.9944","0.9945","2","1.2996","1.6376","2","2.328","0.468"
"2019-08-31","PHI","3","1.3619","1.3619","ATL","1","1.8385","1.8652","2","-0.4766","-0.5033","2","1.011","1.752"
"2019-08-31","NER","1","1.7232","1.7232","TOR","1","2.1886","2.5027","0","-0.4654","-0.7795","0","1.077","1.686"
"2019-08-31","MTL","0","1.7092","1.797","DCU","3","1.1708","1.1749","-3","0.5383","0.6221","-3","1.733","1.013"
"2019-08-31","CLB","1","1.2755","1.2914","CHI","1","2.5953","2.7717","0","-1.3198","-1.4802","0","0.613","2.218"
"2019-08-31","NYRB","0","2.0857","2.0857","COL","2","1.6832","1.6832","-2","0.4026","0.4026","-2","1.658","1.079"
"2019-08-28","MTL","1","1.5656","1.5711","VAN","1","2.609","2.7677","0","-1.0433","-1.1966","1","0.775","2.041"
"2019-08-25","LAFC","3","3.6391","3.7092","LAG","3","1.447","1.447","0","2.1922","2.2622","0","2.543","0.341"
"2019-08-25","FCD","5","3.5447","3.5447","HOU","1","1.968","1.9826","4","1.5766","1.562","4","2.298","0.561"
"2019-08-25","CIN","1","1.5239","1.5239","CLB","3","1.5256","1.5256","-2","-0.0017","-0.0017","-2","1.345","1.393"
"2019-08-24","SJE","3","3.7709","3.8779","VAN","1","0.1298","0.1298","2","3.6411","3.7481","2","2.957","0.023"
"2019-08-24","RSL","2","2.249","2.2862","COL","0","2.0369","2.6739","2","0.2121","-0.3877","2","1.617","1.149"
"2019-08-24","TOR","2","1.5392","1.5392","MTL","1","0.4663","0.4723","1","1.073","1.067","1","2.212","0.544"
"2019-08-24","PHI","3","1.8807","1.8807","DCU","1","0.6116","0.6116","2","1.2691","1.2691","2","2.309","0.497"
"2019-08-24","NER","2","1.5062","1.5062","CHI","1","0.5893","0.5905","1","0.9169","0.9158","1","2.261","0.524"
"2019-08-24","NYC","2","1.9892","2.0061","NYRB","1","0.8009","0.8009","1","1.1884","1.2052","1","2.331","0.465"
"2019-08-23","POR","1","1.9909","1.9984","SEA","2","1.5282","1.5282","-1","0.4627","0.4702","-1","1.666","1.093"
"2019-08-23","ORL","0","2.4316","2.4618","ATL","1","1.3451","1.3595","-1","1.0866","1.1023","-1","2.031","0.783"
"2019-08-22","SKC","1","1.1095","1.1095","MIN","0","0.7708","0.7761","1","0.3386","0.3333","1","1.637","1.049"
"2019-08-21","LAFC","4","3.3967","3.4646","SJE","0","1.8632","1.8888","4","1.5335","1.5759","4","2.329","0.532"
"2019-08-21","DCU","1","1.2854","1.2854","NYRB","2","2.5881","2.6027","-1","-1.3027","-1.3173","-1","0.612","2.22"
"2019-08-21","NYC","1","2.1538","2.1596","CLB","0","1.2727","1.297","1","0.881","0.8626","1","1.934","0.854"
"2019-08-18","POR","0","1.1941","1.201","ATL","2","2.2956","2.5022","-2","-1.1014","-1.3013","-2","0.613","2.173"
"2019-08-17","VAN","1","0.5373","0.5373","DCU","0","1.8957","1.8959","1","-1.3584","-1.3586","1","0.436","2.386"
"2019-08-17","RSL","0","0.7634","0.7634","LAFC","2","2.8766","2.898","-2","-2.1132","-2.1347","-2","0.197","2.702"
"2019-08-17","LAG","2","1.8446","1.8446","SEA","1","2.8318","2.9781","1","-0.9872","-1.1336","0","0.8","2"
"2019-08-17","HOU","2","2.1936","2.1976","COL","2","1.2827","1.2827","0","0.9109","0.915","0","1.964","0.815"
"2019-08-17","SKC","2","1.7932","1.8213","SJE","1","2.1766","2.1834","1","-0.3834","-0.3621","1","1.167","1.626"
"2019-08-17","MIN","1","1.3393","1.3528","ORL","1","1.1193","1.1193","0","0.22","0.2335","0","1.523","1.178"
"2019-08-17","CHI","2","2.017","2.017","PHI","0","2.0524","2.1408","2","-0.0354","-0.1237","2","1.369","1.39"
"2019-08-17","MTL","3","1.1435","1.1435","FCD","3","2.4794","2.6788","0","-1.3359","-1.5354","0","0.561","2.25"
"2019-08-17","CLB","2","1.618","1.618","TOR","2","0.8828","0.8828","0","0.7352","0.7352","0","1.914","0.834"
"2019-08-17","CIN","1","1.7608","1.7608","NYC","4","1.8604","1.9101","-3","-0.0995","-0.1493","-3","1.386","1.341"
"2019-08-17","NYRB","1","2.5941","2.6277","NER","1","0.6178","0.6178","0","1.9763","2.0099","0","2.613","0.264"
"2019-08-14","POR","3","2.0351","2.0351","CHI","2","0.3429","0.3429","1","1.6921","1.6921","1","2.501","0.32"
"2019-08-14","LAG","2","1.4902","1.4902","FCD","0","1.1898","1.1903","2","0.3004","0.2999","2","1.639","1.084"
"2019-08-14","RSL","3","1.1396","1.1438","SEA","0","0.5492","0.5518","3","0.5904","0.592","3","1.762","0.907"
"2019-08-14","MIN","1","3.1508","3.2001","COL","0","0.4669","0.4669","1","2.6839","2.7332","1","2.855","0.086"
"2019-08-14","ORL","1","1.1335","1.1349","SKC","0","1.5286","1.5367","1","-0.3951","-0.4018","1","0.987","1.746"
"2019-08-11","LAFC","4","2.9663","2.9663","NYRB","2","1.691","1.691","2","1.2753","1.2753","2","2.113","0.697"
"2019-08-11","DCU","2","1.0883","1.1207","LAG","1","2.9148","2.9583","1","-1.8265","-1.8376","1","0.453","2.409"
"2019-08-11","PHI","2","0.8304","0.8394","HOU","1","0.8903","0.9002","1","-0.06","-0.0608","1","1.192","1.456"
"2019-08-11","ATL","2","2.7486","2.7486","NYC","1","1.0987","1.0987","1","1.6499","1.6499","1","2.432","0.434"
"2019-08-10","POR","3","1.8134","1.8242","VAN","1","1.2153","1.2159","2","0.5981","0.6084","2","1.705","1.03"
"2019-08-10","COL","2","0.9713","0.9713","SJE","1","1.972","1.9768","1","-1.0007","-1.0055","1","0.621","2.16"
"2019-08-10","CHI","3","0.7487","0.7558","MTL","2","1.577","1.577","1","-0.8282","-0.8212","1","0.628","2.113"
"2019-08-10","FCD","5","2.9731","2.9743","MIN","3","1.7227","1.8653","2","1.2504","1.109","2","2.132","0.671"
"2019-08-10","TOR","1","1.3546","1.3681","ORL","1","0.5726","0.5726","0","0.7819","0.7955","0","1.989","0.729"
"2019-08-10","CLB","2","2.723","2.7331","CIN","2","0.7618","0.7618","0","1.9612","1.9713","0","2.604","0.27"
"2019-08-10","SEA","3","2.7607","2.7972","NER","3","2.2378","2.2378","0","0.5229","0.5594","0","1.661","1.127"
"2019-08-10","SKC","1","1.55","1.55","RSL","2","1.2078","1.2332","-1","0.3422","0.3168","-1","1.687","1.045"
"2019-08-08","NYC","3","3.7066","3.9944","HOU","2","0.3926","0.3933","1","3.314","3.6011","1","2.891","0.065"
"2019-08-04","SEA","2","1.4095","1.4216","SKC","3","1.5465","1.5504","-1","-0.137","-0.1287","-1","1.176","1.542"
"2019-08-04","DCU","1","1.8154","1.8596","PHI","5","3.1772","3.3266","-4","-1.3618","-1.467","-4","0.55","2.278"
"2019-08-04","MIN","1","1.8808","1.9017","POR","0","1.0651","1.0755","1","0.8157","0.8262","1","2.038","0.733"
"2019-08-03","SJE","1","2.3645","2.3979","CLB","1","1.2653","1.2653","0","1.0992","1.1326","0","2.045","0.728"
"2019-08-03","RSL","3","1.3109","1.3278","NYC","1","0.8042","0.8042","2","0.5066","0.5236","2","1.673","1.025"
"2019-08-03","HOU","0","0.6835","0.6906","CHI","1","1.629","3.1938","-1","-0.9455","-2.5032","-1","0.639","2.109"
"2019-08-03","COL","5","2.4351","2.4351","MTL","2","1.6819","1.6836","3","0.7532","0.7514","3","1.905","0.84"
"2019-08-03","CIN","1","1.3875","1.4572","VAN","2","1.1105","1.1105","-1","0.277","0.3467","-1","1.456","1.207"
