"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Luis Gil","RSL","2013","2219","1","0","0","0.1138","-0.1138","-0.1138","0","0","0","0","0.1138","0","0.0649"
"Cole Grossman","RSL","2013","177","0","0","0","0","0","0","1","0","0.1138","-0.1138","0.1138","0","0"
"Benjamin Speas","CLB","2013","1015","0","0","0","0","0","0","1","0","0.1138","-0.1138","0.1138","0","0"
"Gyasi Zardes","LAG","2013","2317","1","1","0","0.1102","0.0586","-0.1102","0","0","0","0","0.1102","0","0.0591"
"Steven Caldwell","TOR","2013","2230","0","0","0","0","0","0","1","0","0.1067","-0.1067","0.1067","0","0"
"Richard Eckersley","TOR","2013","1543","1","1","0","0.1067","-0.0278","-0.1067","0","0","0","0","0.1067","0","0.1178"
"Justin Mapp","MTL","2013","2307","1","0","0","0.1064","-0.1064","-0.1064","0","0","0","0","0.1064","0","0.0438"
"Bradley Wright-Phillips","NYRB","2013","363","1","1","0","0.1026","0.0959","-0.1026","0","0","0","0","0.1026","0","0.0109"
"Alex","CHI","2013","1745","0","0","0","0","0","0","1","0","0.0987","-0.0987","0.0987","0","0"
"Dilly Duka","CHI","2013","1877","1","0","0","0.0987","-0.0987","-0.0987","0","0","0","0","0.0987","0","0.0576"
"Cordell Cato","SJE","2013","1126","0","0","0","0","0","0","1","0","0.09","-0.09","0.09","0","0"
"Tony Cascio","COL","2013","601","1","1","1","0.0839","0.1117","0.9161","0","0","0","0","0.0839","0.9999","0.0838"
"Gabriel Farfán","CHV","2013","896","1","0","0","0.0808","-0.0808","-0.0808","0","0","0","0","0.0808","0","0.072"
"Juninho Pereira","LAG","2013","2963","0","0","0","0","0","0","1","0","0.0774","-0.0774","0.0774","0","0"
"Blas Pérez","FCD","2013","2189","0","0","0","0","0","0","1","0","0.0767","-0.0767","0.0767","0","0"
"Felipe","MTL","2013","2493","0","0","0","0","0","0","1","0","0.0763","-0.0763","0.0763","0","0"
"Conor Casey","PHI","2013","2361","0","0","0","0","0","0","1","0","0.0761","-0.0761","0.0761","0","0"
"Hernán Bernardello","MTL","2013","665","0","0","0","0","0","0","1","0","0.0759","-0.0759","0.0759","0","0"
"Michel","FCD","2013","2478","0","0","0","0","0","0","1","0","0.075","-0.075","0.075","0","0"
"Chris Tierney","NER","2013","2556","0","0","0","0","0","0","1","0","0.0741","-0.0741","0.0741","0","0"
"Dimitry Imbongo Boele","NER","2013","1129","1","1","0","0.0741","0.0169","-0.0741","0","0","0","0","0.0741","0","0.0512"
"Steven Lenhart","SJE","2013","1425","0","0","0","0","0","0","1","0","0.074","-0.074","0.074","0","0"
"Mauro Díaz","FCD","2013","464","0","0","0","0","0","0","1","1","0.0686","0.9314","0.0686","0","0"
"Bobby Convey","TOR","2013","1898","0","0","0","0","0","0","1","0","0.0673","-0.0673","0.0673","0","0"
"Justin Braun","TOR","2013","880","1","0","0","0.0673","-0.0673","-0.0673","0","0","0","0","0.0673","0","0.1092"
"Conor Doyle","DCU","2013","862","1","1","0","0.0651","0.0871","-0.0651","0","0","0","0","0.0651","0","0.0147"
"Collin Martin","DCU","2013","384","0","0","0","0","0","0","1","0","0.0651","-0.0651","0.0651","0","0"
"Kalif Alhassan","POR","2013","1447","0","0","0","0","0","0","1","0","0.0595","-0.0595","0.0595","0","0"
"Bradford Rusin","VAN","2013","1504","0","0","0","0","0","0","1","0","0.0534","-0.0534","0.0534","0","0"
"Shane O'Neill","COL","2013","2370","0","0","0","0","0","0","1","0","0.0519","-0.0519","0.0519","0","0"
"Patrice Bernier","MTL","2013","2694","0","0","0","0","0","0","1","0","0.0436","-0.0436","0.0436","0","0"
"Clint Dempsey","SEA","2013","709","0","0","0","0","0","0","1","0","0.0346","-0.0346","0.0346","0","0"
"C.J. Sapong","SKC","2013","1706","0","0","0","0","0","0","1","0","0.0248","-0.0248","0.0248","0","0"
"Andrew Wenger","PHI","2014","1988","9","7","4","2.9182","0.4897","1.0818","2","0","0.5805","-0.5805","3.4987","2.1217","1.6551"
"Erik Hurtado","VAN","2014","1946","9","4","0","1.499","-0.5238","-1.499","4","1","0.886","0.114","2.385","0","0.7369"
"Obafemi Martins","SEA","2014","2774","6","2","1","1.1757","-0.4485","-0.1757","5","2","1.1718","0.8282","2.3475","0.5196","0.9324"
"Pedro Morales","VAN","2014","2741","5","2","0","0.6493","-0.2639","-0.6493","6","2","1.5415","0.4585","2.1908","0","0.3256"
"Luke Moore","TOR","2014","2125","3","2","2","1.3022","0.0619","0.6978","1","1","0.5296","0.4704","1.8318","1.1979","0.6907"
"Fanendo Adi","POR","2014","1618","6","3","2","1.6398","0.18","0.3602","1","0","0.1437","-0.1437","1.7835","1.2104","1.1783"
"Will Bruin","HOU","2014","2221","4","3","0","1.1689","-0.1516","-1.1689","3","0","0.5525","-0.5525","1.7215","0","0.2286"
"Deshorn Brown","COL","2014","2442","7","6","0","1.5969","0.412","-1.5969","1","0","0.1063","-0.1063","1.7032","0","0.7886"
"Kekuta Manneh","VAN","2014","1319","4","3","1","1.1724","0.056","-0.1725","2","0","0.4366","-0.4366","1.609","0.8395","0.5341"
"Clint Dempsey","SEA","2014","2294","3","2","2","0.7329","0.3578","1.2671","4","0","0.7745","-0.7745","1.5074","0.9449","0.3289"
"Diego Valeri","POR","2014","2972","5","2","1","0.7573","0.1979","0.2427","5","1","0.7015","0.2985","1.4588","0.0598","0.1305"
"Jermain Defoe","TOR","2014","1655","3","1","1","0.7171","-0.1492","0.2829","3","1","0.7224","0.2776","1.4395","0.5608","0.6528"
