"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Donovan Ricketts","POR","2013","3126","784","0.5982","0.5873","8.5882","1.0954","51.61","45.9102","0.1659"
"Michael Boxall","MIN","2019","2819","502","0.8426","0.8256","8.5288","1.699","21.9703","6.6301","0.139"
"David Ousted","VAN","2014","3321","981","0.6483","0.6397","8.4891","0.8653","45.5589","38.3479","0.1831"
"Jordan Harvey","VAN","2016","2721","354","0.7203","0.6964","8.488","2.3977","21.2359","11.2362","0.1019"
"Steven Vitória","PHI","2015","1701","233","0.7339","0.6975","8.4839","3.6411","28.7831","19.2001","0.1447"
"Romain Métanire","MIN","2019","2655","329","0.7173","0.6915","8.4825","2.5783","21.91","14.3705","0.1066"
"Alejandro Fuenmayor","HOU","2018","1952","416","0.8197","0.7994","8.447","2.0305","26.1475","10.8437","0.1729"
"Cody Cropper","NER","2019","690","182","0.7527","0.7064","8.4265","4.63","41.4969","32.871","0.2155"
"Scott Sutter","VAN","2019","1106","167","0.8323","0.7819","8.4145","5.0386","17.0309","6.2251","0.0717"
"Steven Birnbaum","DCU","2017","2414","358","0.7682","0.7448","8.3777","2.3401","24.7432","15.3618","0.1231"
"Ryan Hollingshead","FCD","2019","3286","531","0.8343","0.8185","8.3663","1.5756","18.6078","4.7585","0.1024"
"Justen Glad","RSL","2019","2251","515","0.8408","0.8246","8.3246","1.6164","22.2972","8.1469","0.1626"
"Júnior Moreno","DCU","2019","2818","293","0.8532","0.8248","8.3205","2.8398","18.2525","7.0558","0.0826"
"Fatai Alashe","SJE","2017","1292","185","0.8486","0.8037","8.3072","4.4904","24.5029","7.8244","0.0805"
"Zac MacMath","COL","2015","290","101","0.6436","0.5618","8.2617","8.1799","49.3096","44.1953","0.1961"
"Chad Marshall","SEA","2019","779","177","0.9096","0.8632","8.2145","4.6409","22.112","6.9104","0.1564"
"Doneil Henry","VAN","2019","2323","590","0.8305","0.8166","8.1885","1.3879","24.1995","10.7359","0.148"
"Guram Kashia","SJE","2018","1172","278","0.8237","0.7943","8.1884","2.9455","26.5215","11.7842","0.1741"
"Lalas Abubakar","COL","2019","2191","355","0.8169","0.7938","8.1854","2.3057","23.29","9.8958","0.1646"
"Julio Cascante","POR","2019","1614","276","0.8949","0.8654","8.1425","2.9502","21.9012","6.1267","0.11"
"Liam Fraser","TOR","2019","887","142","0.9296","0.8723","8.1265","5.7229","21.4331","4.587","0.1073"
"Michael Mancienne","NER","2019","1322","230","0.8391","0.8038","8.1185","3.5298","23.7609","9.264","0.1374"
"Francois Affolter","SJE","2017","545","142","0.8732","0.8161","8.107","5.7091","23.4102","8.987","0.1616"
"Raúl Fernández","FCD","2014","1990","565","0.5929","0.5786","8.0913","1.4321","48.2812","41.4401","0.1741"
"Joshua Yaro","PHI","2016","1416","292","0.8356","0.808","8.0657","2.7622","22.532","9.6903","0.1585"
"Nick Hagglund","TOR","2018","1568","361","0.8255","0.8031","8.0632","2.2336","23.8353","9.4064","0.1309"
"Tommy Redding","ORL","2017","1536","244","0.8443","0.8115","7.9918","3.2753","22.3008","7.9939","0.1199"
"Eriq Zavaleta","TOR","2018","1602","431","0.8724","0.8538","7.9908","1.854","22.4149","7.1791","0.1404"
"Kyle Smith","ORL","2019","1554","154","0.7662","0.7144","7.9769","5.1798","20.6313","12.8748","0.0643"
"Frédéric Brillant","NYC","2017","1724","495","0.8242","0.8083","7.891","1.5941","22.9899","9.345","0.1302"
"Justin Morrow","TOR","2017","2654","265","0.8","0.7704","7.8452","2.9605","19.1736","9.5428","0.0772"
"Víctor Cabrera","MTL","2017","1610","403","0.8089","0.7896","7.7923","1.9336","23.8748","9.0411","0.1555"
"Milton Valenzuela","CLB","2018","2758","386","0.6995","0.6793","7.7755","2.0144","21.7582","10.9038","0.0912"
"Tony Alfaro","SEA","2017","888","237","0.8186","0.7858","7.7551","3.2722","23.6905","9.9856","0.1106"
"Alex Bono","TOR","2016","1478","446","0.6188","0.6015","7.7502","1.7377","48.0391","41.9513","0.1756"
"Maynor Figueroa","FCD","2016","2632","344","0.657","0.6345","7.7478","2.2523","26.2087","16.1261","0.1107"
"RJ Allen","NYC","2017","1099","171","0.8246","0.7796","7.6878","4.4958","18.031","6.2577","0.065"
"Sheanon Williams","PHI","2015","1371","184","0.7065","0.6648","7.6718","4.1695","22.8006","16.7144","0.1089"
"Matt Turner","NER","2019","1939","537","0.6518","0.6375","7.66","1.4264","45.3699","38.879","0.1972"
"Florian Jungwirth","SJE","2018","2621","423","0.8534","0.8354","7.6239","1.8023","20.7905","6.098","0.1043"
"Dillon Serna","COL","2019","669","74","0.7568","0.6538","7.6209","10.2986","24.6199","16.0503","0.0469"
"Nedum Onuoha","RSL","2019","2554","557","0.8725","0.8589","7.6172","1.3675","22.3613","5.4961","0.1473"
"Andrew Farrell","NER","2015","3035","512","0.7305","0.7158","7.5307","1.4708","28.7249","16.1973","0.1742"
"Tim Melia","SKC","2018","3369","1113","0.8041","0.7974","7.5065","0.6744","35.2382","25.7681","0.2036"
"Raïs M'bolhi","PHI","2014","385","110","0.6545","0.587","7.429","6.7536","42.0126","37.5935","0.2143"
"Clint Irwin","TOR","2017","530","157","0.6306","0.5833","7.421","4.7268","46.1159","40.8902","0.1521"
"Hassoun Camara","MTL","2016","2430","320","0.7594","0.7363","7.3874","2.3086","24.5856","10.9771","0.104"
"Dave Romney","LAG","2019","1007","118","0.8475","0.7849","7.3867","6.2599","20.0618","8.4808","0.0898"
"Richard Eckersley","TOR","2013","1543","196","0.7347","0.6971","7.3631","3.7567","25.5064","19.0659","0.1181"
"Fraser Aird","VAN","2016","1563","169","0.6923","0.6488","7.345","4.3462","24.1378","14.1062","0.0776"
"Nick Hagglund","TOR","2014","2254","488","0.8115","0.7965","7.3309","1.5022","23.8564","11.0143","0.1601"
"Fabinho","PHI","2015","2255","285","0.6211","0.5954","7.3248","2.5701","26.17","20.5596","0.1289"
"Tommy Thompson","SJE","2019","2468","339","0.8496","0.828","7.3075","2.1556","16.9122","5.3735","0.0772"
"Brian Rowe","VAN","2018","999","273","0.6374","0.6107","7.2684","2.6624","47.2945","40.6249","0.1612"
"Matt Hedges","FCD","2016","2524","650","0.82","0.8089","7.24","1.1138","24.3493","10.8955","0.1893"
"Tyler Miller","LAFC","2019","2780","818","0.7971","0.7882","7.2385","0.8849","34.5053","26.2745","0.1816"
"Philippe Senderos","HOU","2018","682","139","0.8993","0.8472","7.2379","5.2071","25.2363","12.0684","0.1523"
"Sean Nealis","NYRB","2019","525","57","0.8246","0.698","7.2152","12.6583","21.8621","12.424","0.0816"
"Demar Phillips","RSL","2015","1480","174","0.7644","0.7229","7.2128","4.1453","20.0329","11.001","0.0943"
"Jake Gleeson","POR","2017","1990","504","0.6667","0.6524","7.1914","1.4269","46.5539","39.2814","0.1526"
"Sheanon Williams","HOU","2015","1244","189","0.7143","0.6762","7.1909","3.8047","26.029","17.7769","0.1113"
"Graham Zusi","SKC","2017","2290","299","0.8161","0.792","7.1886","2.4042","22.0925","5.6631","0.0889"
"Matt Besler","SKC","2014","2316","559","0.8318","0.819","7.1819","1.2848","24.6422","9.4759","0.1929"
"Donovan Ricketts","ORL","2015","976","258","0.6977","0.6702","7.0973","2.7509","42.0615","35.1838","0.1748"
"Rudy Camacho","MTL","2018","1696","433","0.8684","0.852","7.0863","1.6366","22.9029","7.394","0.1569"
"Micheal Azira","COL","2017","2778","368","0.8478","0.8286","7.0815","1.9243","23.2555","8.5263","0.104"
"Je-Vaughn Watson","FCD","2015","2140","364","0.7418","0.7223","7.0737","1.9433","26.208","13.2215","0.1235"
"Kelyn Rowe","NER","2017","2046","164","0.689","0.6461","7.0387","4.2919","26.4422","17.8713","0.0722"
"Eric Gehrig","CLB","2014","1282","256","0.8047","0.7772","7.0274","2.7451","24.2818","11.5948","0.0906"
"Rolf Feltscher","LAG","2018","1393","170","0.6882","0.647","7.0181","4.1283","23.1518","14.3216","0.0998"
"Jámison Olave","RSL","2016","1602","229","0.8253","0.7948","6.9969","3.0554","23.7152","7.8195","0.1416"
"David Bingham","SJE","2016","3253","1112","0.5567","0.5504","6.9668","0.6265","51.3557","45.1588","0.2259"
"Damien Perquis","TOR","2015","2204","340","0.8","0.7795","6.9537","2.0452","26.4407","13.4388","0.139"
"Carlos Gruezo","FCD","2018","2765","269","0.855","0.8294","6.898","2.5643","22.1972","9.3911","0.0607"
"Danny O'Rourke","POR","2014","1060","190","0.8316","0.7953","6.8955","3.6292","22.5356","10.9002","0.1413"
