"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"NYRB","2019","34","6852","0.7107","0.736","-173.288","-2.529","9.4107","7946","0.7626","0.7942","-251.054","-3.1595","6.791","77.766","2.6197"
"RSL","2014","34","9002","0.8446","0.8395","45.4624","0.505","4.8948","7019","0.8072","0.8117","-31.1075","-0.4432","7.1937","76.5699","-2.2989"
"SEA","2014","34","9368","0.8328","0.8259","64.8312","0.692","5.9449","8805","0.8269","0.8282","-11.305","-0.1284","5.5744","76.1362","0.3705"
"SKC","2016","34","8407","0.816","0.8231","-59.4331","-0.7069","5.5945","6885","0.7888","0.808","-131.8736","-1.9154","6.5843","72.4406","-0.9898"
"CLB","2013","34","8516","0.7832","0.7953","-102.3889","-1.2023","7.3313","7772","0.7833","0.805","-168.4479","-2.1674","7.0496","66.0591","0.2816"
"RSL","2015","34","7703","0.8119","0.8097","17.1408","0.2225","6.0285","6534","0.7779","0.7854","-48.7426","-0.746","7.5078","65.8834","-1.4793"
"LAG","2013","34","8179","0.8088","0.8189","-82.6608","-1.0106","6.8497","8031","0.8004","0.8184","-144.8368","-1.8035","5.9791","62.176","0.8707"
"FCD","2016","34","7520","0.793","0.7976","-35.168","-0.4677","6.6803","8158","0.8003","0.812","-95.1025","-1.1658","5.9728","59.9344","0.7076"
"TOR","2018","34","9737","0.8576","0.8459","113.713","1.1678","4.5438","8350","0.8356","0.8281","62.4263","0.7476","4.9716","51.2867","-0.4279"
"NYRB","2014","34","8496","0.8331","0.8323","6.4684","0.0761","6.0291","7818","0.8138","0.8193","-43.6744","-0.5586","6.6131","50.1429","-0.584"
"TOR","2014","34","7514","0.8061","0.8051","7.79","0.1037","6.8419","8289","0.8183","0.8234","-42.1531","-0.5085","5.9354","49.9431","0.9065"
"SEA","2016","34","9078","0.8473","0.8306","151.6978","1.671","5.0213","8436","0.8369","0.8245","104.842","1.2428","5.4199","46.8558","-0.3986"
"LAG","2019","34","8193","0.8688","0.8404","232.6316","2.8394","4.6233","8175","0.8632","0.8405","185.8619","2.2735","5.2916","46.7696","-0.6684"
"NER","2018","34","7396","0.766","0.7777","-86.5015","-1.1696","8.1366","7123","0.7824","0.801","-132.8463","-1.865","5.7754","46.3447","2.3611"
"RSL","2018","34","8820","0.8552","0.8468","73.8867","0.8377","4.273","7143","0.8159","0.8116","30.6832","0.4296","5.6217","43.2035","-1.3488"
"COL","2013","34","7654","0.7919","0.8007","-67.8575","-0.8866","6.8436","8015","0.7974","0.8112","-110.8048","-1.3825","6.6161","42.9473","0.2275"
"TOR","2015","34","7677","0.8227","0.8204","17.4166","0.2269","6.4922","8075","0.8144","0.8174","-24.7808","-0.3069","6.0973","42.1975","0.395"
"POR","2017","34","8361","0.8501","0.8306","163.1309","1.9511","5.2526","7703","0.8353","0.8196","120.956","1.5702","5.6228","42.1748","-0.3702"
"PHI","2016","34","7767","0.7949","0.8001","-40.7218","-0.5243","6.6678","7863","0.7973","0.8078","-82.5907","-1.0504","6.1556","41.8689","0.5121"
"COL","2016","34","7977","0.8022","0.8056","-26.9446","-0.3378","6.0952","8234","0.8111","0.8194","-68.1076","-0.8272","5.4421","41.163","0.6531"
"SKC","2015","34","7718","0.7804","0.7973","-130.8023","-1.6948","6.7141","7562","0.7694","0.7919","-170.5227","-2.255","7.1694","39.7203","-0.4554"
"POR","2015","34","7555","0.8279","0.8125","116.338","1.5399","5.8628","7418","0.8199","0.8096","76.7071","1.0341","6.4109","39.6309","-0.548"
"FCD","2015","34","7269","0.7872","0.7919","-34.2833","-0.4716","6.8682","7814","0.8053","0.8147","-73.305","-0.9381","6.1429","39.0217","0.7253"
"HOU","2015","34","7132","0.8078","0.8073","3.2883","0.0461","5.7658","7769","0.8011","0.8053","-32.138","-0.4137","6.3998","35.4263","-0.6341"
"TOR","2013","34","6935","0.7742","0.791","-116.8418","-1.6848","7.6085","8182","0.7953","0.8135","-149.3521","-1.8254","6.6039","32.5103","1.0046"
"LAG","2015","34","8471","0.8171","0.818","-7.4931","-0.0885","5.9627","7803","0.8058","0.8109","-39.5492","-0.5068","6.0098","32.056","-0.0471"
"COL","2014","34","8467","0.8174","0.8211","-31.2195","-0.3687","5.8403","8403","0.8101","0.8175","-62.0793","-0.7388","6.1763","30.8598","-0.336"
"CHI","2014","34","7378","0.7934","0.801","-55.663","-0.7544","7.3227","8675","0.8112","0.8209","-84.0794","-0.9692","6.1388","28.4164","1.1838"
"ATL","2017","34","8686","0.8311","0.8376","-56.2226","-0.6473","4.5876","6459","0.784","0.7971","-84.3947","-1.3066","6.4915","28.1721","-1.9039"
"ORL","2015","34","8753","0.8446","0.8417","25.3264","0.2893","4.8855","8634","0.8424","0.8422","1.2708","0.0147","5.3573","24.0555","-0.4718"
"NER","2015","34","7705","0.7983","0.7992","-6.9798","-0.0906","6.8298","8044","0.8041","0.8078","-29.5662","-0.3676","6.1912","22.5864","0.6386"
"LAG","2017","34","7821","0.8343","0.831","26.1292","0.3341","4.8231","8218","0.8345","0.834","3.9398","0.0479","5.2102","22.1894","-0.387"
"COL","2020","2","478","0.8828","0.8482","16.565","3.4655","3.8554","481","0.8087","0.8173","-4.1032","-0.8531","5.3328","20.6682","-1.4774"
"ATL","2019","34","9304","0.8551","0.8517","31.8642","0.3425","4.439","7388","0.8228","0.8212","12.2719","0.1661","5.8401","19.5924","-1.401"
"NER","2020","2","440","0.7841","0.7659","8.0234","1.8235","8.2967","559","0.7961","0.8125","-9.215","-1.6485","6.2629","17.2383","2.0339"
"NSH","2020","2","569","0.8453","0.8159","16.7712","2.9475","5.2967","572","0.8584","0.8576","0.4493","0.0785","3.0626","16.3219","2.2341"
"CHI","2019","34","8021","0.8317","0.8249","54.6288","0.6811","5.4374","8810","0.8472","0.8428","38.5715","0.4378","4.9158","16.0573","0.5216"
"LAFC","2020","2","501","0.8323","0.8303","1.0417","0.2079","6.3087","261","0.682","0.7391","-14.9145","-5.7144","8.9162","15.9562","-2.6075"
"RSL","2019","34","8318","0.8423","0.8379","36.5671","0.4396","4.2986","8516","0.8355","0.8331","20.7049","0.2431","5.1825","15.8622","-0.8839"
"DCU","2013","34","8739","0.8217","0.8318","-88.5086","-1.0128","5.6512","7457","0.7893","0.8033","-104.2674","-1.3982","6.996","15.7588","-1.3448"
"NER","2017","34","7540","0.8318","0.8224","70.8761","0.94","5.7065","8903","0.8459","0.8395","57.1021","0.6414","5.0312","13.7741","0.6753"
"NYRB","2020","2","407","0.7076","0.7137","-2.4937","-0.6127","9.0426","516","0.7868","0.8168","-15.4532","-2.9948","5.8155","12.9595","3.2271"
"CLB","2019","34","8109","0.8357","0.8315","34.0831","0.4203","5.5166","8429","0.8354","0.8329","21.6221","0.2565","4.8698","12.461","0.6467"
"CLB","2015","34","8130","0.8283","0.8212","57.9759","0.7131","6.466","7160","0.8166","0.8102","45.8426","0.6403","6.8168","12.1333","-0.3508"
"SEA","2018","34","8418","0.8435","0.8331","88.2701","1.0486","4.8121","8657","0.8436","0.8347","77.031","0.8898","4.9694","11.2391","-0.1573"
"SKC","2020","2","516","0.8391","0.8319","3.7375","0.7243","5.1837","444","0.8153","0.8319","-7.3745","-1.6609","3.8937","11.112","1.29"
"CHI","2017","34","8920","0.8556","0.8504","46.4929","0.5212","4.0793","8441","0.8311","0.8268","35.9593","0.426","5.4202","10.5336","-1.3408"
"TOR","2020","2","388","0.8015","0.8048","-1.2464","-0.3212","7.087","512","0.8145","0.8345","-10.2861","-2.009","4.3204","9.0397","2.7667"
"DCU","2014","34","8339","0.8115","0.8126","-9.6358","-0.1156","5.8138","8602","0.8157","0.8178","-17.8948","-0.208","6.3364","8.259","-0.5226"
"HOU","2020","2","453","0.8389","0.8231","7.1519","1.5788","5.0917","468","0.8098","0.8084","0.6703","0.1432","5.3384","6.4816","-0.2467"
"PHI","2020","2","324","0.7531","0.7675","-4.6857","-1.4462","6.8737","428","0.7944","0.8201","-10.9988","-2.5698","6.056","6.3132","0.8177"
"CHI","2020","2","506","0.8024","0.7941","4.1801","0.8261","6.7193","508","0.8287","0.832","-1.6415","-0.3231","5.7627","5.8216","0.9566"
"ATL","2018","34","8755","0.8685","0.8597","77.2299","0.8821","3.7406","7678","0.8451","0.8358","71.4945","0.9312","4.9298","5.7353","-1.1892"
"DCU","2016","34","7144","0.7795","0.7861","-46.7976","-0.6551","7.2358","8247","0.7931","0.7995","-52.3532","-0.6348","6.5982","5.5556","0.6376"
"SJE","2020","2","544","0.8676","0.875","-4.0242","-0.7398","3.6553","301","0.7475","0.7745","-8.1191","-2.6974","7.9048","4.0949","-4.2496"
"ORL","2018","34","7474","0.8539","0.8412","94.9817","1.2708","4.8321","8227","0.8564","0.845","93.9253","1.1417","5.0026","1.0564","-0.1705"
"LAG","2020","2","417","0.789","0.7821","2.8835","0.6915","6.5674","457","0.8315","0.827","2.0803","0.4552","5.1214","0.8032","1.446"
"CIN","2020","2","449","0.8018","0.8191","-7.762","-1.7287","5.7095","645","0.8217","0.8331","-7.3572","-1.1407","4.7089","-0.4048","1.0006"
"CLB","2017","34","8632","0.8494","0.8423","61.5268","0.7128","4.812","8027","0.846","0.8383","62.0101","0.7725","4.3066","-0.4833","0.5053"
"NYC","2020","2","401","0.7681","0.7887","-8.2872","-2.0666","5.6729","500","0.842","0.8551","-6.567","-1.3134","5.445","-1.7203","0.2278"
"MIA","2020","2","347","0.7695","0.7865","-5.9191","-1.7058","6.7853","525","0.8267","0.8345","-4.0925","-0.7795","4.906","-1.8267","1.8793"
"MIN","2020","2","328","0.7774","0.7897","-4.0259","-1.2274","7.373","570","0.8561","0.8598","-2.1025","-0.3689","4.5399","-1.9234","2.8331"
"SJE","2014","34","7871","0.8157","0.8119","29.9253","0.3802","5.7024","8535","0.8259","0.8221","32.1775","0.377","5.7172","-2.2522","-0.0148"
