"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Adailton","CHI","-0.0703","0.0079","0.3559","0.1339","0.0204","0.0574","0.5052"
"Steven Birnbaum","DCU","-0.0921","-0.12","0.4134","-0.2582","0.4157","0.1319","0.4907"
"Joseph Greenspan","COL","-0.0757","0.0156","0.4409","0.0564","0.0426","-0.0024","0.4774"
"Shea Salinas","SJE","1.3467","-0.2161","-0.0502","1.5952","-1.6891","-0.5188","0.4677"
"Aaron Schoenfeld","CLB","-0.3326","-0.0319","-0.0983","-0.2086","0.8613","0.2671","0.457"
"Dave Romney","LAG","-0.023","-0.0001","0.4799","0.0129","-0.0314","0.0066","0.4449"
"Shaun Wright-Phillips","NYRB","-0.1195","0.2767","0.1408","0.0132","0.0686","0.0552","0.435"
"Luke Boden","ORL","0.044","0.0349","-0.4294","1.4456","-0.5912","-0.0703","0.4336"
"Chad Marshall","SEA","-0.1654","0.3827","0.5664","-0.18","-0.1875","0.0173","0.4335"
"Darlington Nagbe","POR","2.5303","0.0737","-0.2194","-0.4704","-1.258","-0.2361","0.4201"
"Javier Calle","NYC","-0.1827","-0.052","0.4769","0.3529","-0.1278","-0.0486","0.4187"
"Eriq Zavaleta","TOR","0.1734","0.0514","0.2967","-0.0258","-0.0168","-0.0757","0.4032"
"Seb Hines","ORL","0.0686","0.1916","-0.1769","0.3264","0.1248","-0.1329","0.4016"
"Servando Carrasco","SKC","-0.226","0.0035","0.5953","-0.1435","0.1327","0.0319","0.3939"
"Micheal Azira","SEA","-0.2451","-0.0385","0.6029","0.0626","0.0604","-0.056","0.3863"
"Jordan Stewart","SJE","-0.0108","0.2565","0.3643","0.0224","-0.1526","-0.0994","0.3804"
"Sean Davis","NYRB","0.1321","-0.0219","0.3265","-0.0839","0.0333","-0.0088","0.3773"
"Taylor Kemp","DCU","-0.1266","-0.1681","0.9252","0.1306","-0.369","-0.0186","0.3735"
"Giovani dos Santos","LAG","0.8365","-0.0971","0.1025","0.3914","-0.6711","-0.1961","0.3661"
"Víctor Bernárdez","SJE","-0.0151","0.0367","1.3506","-0.6423","-0.2659","-0.1007","0.3633"
"Pedro Ribeiro","ORL","-0.2476","0.4296","0.1455","-0.103","0.1549","-0.0194","0.36"
"Justen Glad","RSL","-0.1847","0.0202","0.7528","-0.0852","-0.1489","-0.0027","0.3515"
"Erik Friberg","SEA","-0.1941","-0.0458","0.5559","0.3694","-0.2708","-0.0639","0.3507"
"Norberto Paparatto","POR","-0.0108","0.264","0.2399","-0.1616","0.0694","-0.0549","0.346"
"Charles Eloundou","COL","0.2602","-0.0279","-0.0776","0.1394","-0.0305","0.0676","0.3312"
"London Woodberry","NER","-0.4925","-0.1058","0.8764","0.1058","-0.0029","-0.0537","0.3273"
"Darwin Cerén","ORL","0.1883","-0.3777","0.3229","0.4799","-0.2119","-0.0866","0.3149"
"Anatole Bertrand-Abang","NYRB","-0.5137","0.1726","-0.0682","-0.3653","0.9878","0.0821","0.2953"
"Robert Earnshaw","VAN","-0.2499","-0.0253","0.0125","-0.0663","0.4875","0.1364","0.2949"
"Andy Dorman","NER","-0.3484","0.085","0.3138","-0.4101","0.4615","0.1829","0.2847"
"Michel","FCD","-0.0798","-0.0111","-0.188","0.2295","-0.259","0.5795","0.2711"
